no,question,draft1,draft2,draft3,draft4
1,자신과는 입장이 다른 상대방을 배려하여 모두에게 좋은 결과를 이끌어냈다고 생각하는 경험에 대해 작성해 주십시오.,인사 수업에서 출장 경비를 계산하고 발표하는 수행평가를 했다.,"팀의 발표자는 가산점을 받을 수 있었는데, 발표자 정하는 과정에서 팀원 간 반복적인 마찰을 빚었고, 조별과제 진행에 악영향을 끼쳤다.","개인의 이득보다 팀 전체의 성과를 위해 평소 발표 실력이 뛰어나던 팀원의 입장을 존중하며 발표역할을 양보했다. 대신 꼼꼼하고, 숫자에 강한 강점을 반영해 자료조사와 경비계산의 역할을 맡아 팀원들이 PPT 자료 만들기와 발표 연습을 더욱더 편하게 준비할 수 있도록 도왔다. ",그 결과 팀은 선생님께 경비계산 부분과 발표 부분에서 좋은 평을 들으며 수행평가에서 높은 점수를 받을 수 있었다.
2,본인이 가장 크게 좌절했던 경험과 이를 극복할 수 있었던 당신의 슈퍼파워가 무엇인지 기술해주세요.,대학시절 인터넷통신설계라는 과목을 통해 라즈베리파이로 프로젝트를 진행했다.,내가 맡은 소켓 통신 코딩과 다른 팀원들이 가지고 온 코딩을 합쳐보니 파트별로 조화가 이루어지지 않기 때문에 코딩에 오류가 있었고 반복된 오류들 탓인지 팀원 모두 지쳐있었다.,"팀원들과 함께 코딩 전체를 한줄 씩 줄을 그으며 세밀하게 분석하고, 오류내용을 정리하였습니다.",끝내 프로젝트를 완성시킬 수 있었다.
3,자신에게 요구된 것보다 더 높은 목표를 스스로 세워 시도했던 경험 중 가장 기억에 남는 것은 무엇입니까?,종합설계프로젝트를 이수하며 학부생들과 ‘오픈콥터’라는 프로젝트를 진행했다.,학업과 프로젝트를 동시에 진행하며 기간 내에 완성하기는 무리였지만 분업하여 최대한 해보기로 결정했다.,두 명씩 짝을 지어 분업한 덕분에 프로젝트는 완성하여 전시회에 참여할 수 있었다.,간단한 프로젝트로 전시회에 참여해도 됐지만 높은 목표를 설정하고 노력했기에 더 많이 배울 수 있었다.
4,삼성취업을 선택한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오.,대회 출전 경험을 통해 로봇에 대해 깊고 넓은 지식을 얻었고 더 연구하고 싶어 삼성중공업에 지원하게 되었습니다.,"저의 전공지식과 설계프로그램 사용능력, 직접 로봇을 제작한 경험, 만들면서 배운 메카트로닉스 지식들이 합쳐진다면 삼성중공업의 파이프검사 및 자동청소로봇의 효율적인 개발뿐만 아니라 다른 분야의 일에서도 꼭 필요한 설계자가 될 것이라 생각합니다.",2012 전국지능로봇경진대회에 참가하여 특별상을 받았던 경험이 있습니다. 로봇에 대한 흥미는 대회에서 수상하는 결과로 나타났고 기업을 선택할 때도 중요한 요인이 되었습니다. ,"제가 지원한 설계직의 직무역량을 키우기 위해 CATIA, CAD 같은 설계프로그램 배우고 활용도를 높이기 위해 노력하였습니다. 또한 전공지식을 강화해야 한다고 생각하여 일반기계기사 자격증을 취득하기 위해 필기시험에 합격하였고 실기시험을 준비하고 있습니다. "
5,귀하가 HCN을 지원하게 된 동기에 대해 서술해 주십시오,"현대HCN은 국내 메이저 유선방송 사업을 리드하는 곳으로서 회사의 발전뿐 아니라 다른 통신사와는 다른, 지역정보 매체로 지역주민 발전에 큰 역할을 한다는 점에서 저의 직업 가치관과 일치했습니다.","저는 정직과, 신뢰를 통해 이윤을 만들고 그것이 가정의 건강의 행복을 전달하고 싶다는 가정환경 속 배워온 신조와 함께, 현대 HCN을 통해 차별 없이 많은 사람에게 양질의 정보들을 전달하고 싶었습니다.","어린 시절 배워 온 다양한 고객과 소통하며 느낀 현장데이터와, 적극적인 성격, 영업이라는 제 적성은 앞으로 HCN을 통해 지역주민과 함께 정보화 사회의 중심으로 발돋움할 수 있는 발판이 될 것입니다.","제가 전공한 `상품이나 서비스를 다양한 매체를 통해서 널리 알리는 활동`인 광고 홍보학 지식을 바탕으로, 시장별 프로모션 운영은 물론 가입판촉 홍보 활동에 자신이 있습니다."
6,지원동기 및 포부에 대하여,공모전에 출품할 프로젝트를 수행하며 어플리케이션 서버로 AWS EC2서비스를 사용하면서 AWS의 다양한 기능들과 미래 가능성에 관심을 갖게 되었습니다.,지금껏 쌓아온 클라우드 서비스에 대한 경험들과 관심은 GS네오텍의 일원이 되어서 업무를 수행하는데 실질적인 도움이 될 수 있다고 생각하며 이를 바탕으로 GS네오텍과 함께 클라우드 전문가로 성장하겠습니다.,전자부품연구원에서 근무하며 가상데스크탑과 클라우드에 관련된 미래창조과학부 연구 개발 과제에 참여하면서 Cloud Stack이라는 클라우드 관리 도구를 사용해보고 일부분에 대한 개발도 진행해보는 등 클라우드에 대한 관심과 실무적 경험들을 쌓아 올 수 있었습니다.,"전공 수업 들을 통해 프로그래밍 언어, 소프트웨어 공학, 네트워크, 데이터베이스, 운영체제 등 폭넓은 지식들을 쌓으며 전산 직무에 적응할 수 있는 바탕을 마련하였습니다."
7,summary_test1,미디움으로 부탁한 티본스테이크는 애초에도 좀 질겼는데 불판에서 계속 익으면서 더 질겨짐 토마토파스타는 짰다. 솔직히 진짜 별로 돌아다니면서 아무 레스토랑에서 먹은 비프스테이크가 더 맛있었다 미디엄레어로 구웠는데도 육즙가득에 부드러웠음 여기는 한국인평보고 왔는데 맛은 진짜없다 먹다보면 속도 느글느글해짐... 콜라가땡김 그래도 서비스는 좋음 한국인 직원있고 서비스음식도 잘준다,,,
8,summary_test2,북경오리는 껍질이 정말 입에서 흔적도 없이 녹아내리네요. 칠리새우는 그동안 먹어본 칠리새우 중 가장 통통해서 식감이 최고였어요. 산라 소룡포도 얼큰한맛으로 너무 좋았네요. 식당 분위기도 좋고 연말 회식 때 다시 오고 싶어요,,,
9,summary_test3,"영국에서 변종 코로나19가 확산하자 인도도 유럽 국가 등에 이어 영국을 오가는 항공편 운항을 잠정 중단하기로 했습니다. 인도 민간항공부는 영국의 코로나19 확산 상황을 고려해 오는 23일부터 31일까지 영국에서 인도로 오는 모든 항공기의 운항을 중단하기로 했다고 밝혔습니다. 앞서 영국 정부는 수도 런던을 비롯한 잉글랜드 남동부에서 변종 코로나19가 빠르게 확산하자 지난 19일 긴급 봉쇄조치를 단행했습니다. 보리스 존슨 영국 총리는 봉쇄조치를 단행하면서 이 변종이 기존 바이러스 대비 감염력이 70% 더 크고, 재생산지수를 최대 0.4 높일 수 있다고 밝혔습니다. 이후 독일, 이탈리아 등 유럽 국가들과 캐나다 등은 잇따라 영국발 항공편 금지 조치를 발표했습니다.",,,
10,summary_test4,"지난달 하순부터 인도 수도 뉴델리 인근에서 계속된 농민 시위 과정에서 24명이 숨진 것으로 파악됐다. 경찰과의 충돌로 인한 사망자는 발생하지 않은 것으로 알려졌지만, 대규모 인원이 이동하고 야외에서 숙식을 해결하는 과정에서 교통사고와 추위로 목숨을 잃은 이가 속출한 것이다. 인도 경제지 이코노믹타임스는 18일 농민 단체 대표 등을 인용해 시위가 이어진 지난 3주 동안 농민의 희생 상황을 집계해 보도했다. 보도에 따르면 9명 이상이 시위 장소로 이동하는 과정에서 교통사고로 숨졌고, 추위와 심장마비 등으로 목숨을 잃은 이도 10여 명인 것으로 집계됐다. 이 밖에 스스로 목숨을 끊은 이도 발생한 것으로 전해졌다. 시위 지도부 중 한 명인 발비르 싱 라제왈은 ""연방정부와 주정부는 희생자의 가족에게 보상하고 희생자의 가까운 친척에게 일자리를 줘야 한다""고 말했다.",,,
